nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication,Unnamed: 23,Unnamed: 24,Unnamed: 25
Gali Suresh Reddy,G Suresh Reddy,No,Dimensionality reduction approach for high dimensional text documents,Conference,2016 International Conference on Engineering & MIS (ICEMIS),yes,no,"Pages 1-6, Publisher IEEE",2016.0,September,2016-17,https://ieeexplore.ieee.org/abstract/document/7745364,10.1109/ICEMIS.2016.7745364,ISBN:978-1-5090-5580-7,"WoS, SCOPUS, Google Scholar",11.0,"Feature dimensionality has always been one of the key challenges in text mining as it increases complexity when mining documents with high dimensionality. High dimensionality introduces sparseness, noise, and boosts the computational and space complexities. Dimensionality reduction is usually addressed by implementing either feature reduction or feature selection techniques. In this work, the problem of dimensionality reduction is addressed by achieving feature reduction through the use of a novel membership function. For feature selection, Singular value decomposition and Information gain approaches are adopted through retaining top-k features. The approach of feature reduction is compared to feature selection techniques and results prove the dimensionality reduction achieved through proposed approach is better.","Matrix decomposition,Feature extraction,Complexity theory,Text mining,Singular value decomposition,Clusteringalgorithms,Standards",,,,2016-09-17,,,
Gali Suresh Reddy,"G SureshReddy, TV Rajinikanth, A AnandaRao",No,Clustering and Classification of Text Documents Using Improved Similarity Measure,Journal,International Journal of Computer Science and Information Security,yes,yes,"Volume 14, Issue 4, Pages 39-54, Publisher L J S PUBL",2016.0,February,2015-16,https://www.academia.edu/22500492/Clustering_and_Classification_of_Text_Documents_Using_Improved_Similarity_Measure,,ISSN 1947 5500,"Scopus, Google Scholar",8.0,"Dimensionality reduction is very challenging and important in text mining. We need toknow which features be retained what to be and It helps in reducing the processing overhead when performing text classification and text clustering. Another concern in text clustering and textclassification is the similarity measure which we choose to find the similarity degree between any twotext documents. In this paper, we work towards text clustering and text classification by addressingdimensionality reduction using SVD followed by the use of the proposed similarity measure which isan improved version of our previous measure [25, 31]. This proposed measure is used for supervisedand un-supervised learning. The proposed distance measure overcomes the disadvantages of theexisting measures ","Feature Vector, Similarity, Feature Set, Commonality",,,,2016-02-01,,,
Gali Suresh Reddy,"G Suresh Reddy, TV Rajini Kanth, A Ananda Rao",No,An improved similarity measure for text clustering and classification,Journal,Advanced Science Letters,yes,yes,"Volume 21, Issue 11, Pages 3583-3590, Publisher: American Scientific Publishers",2015.0,November,2015-16,https://www.ingentaconnect.com/contentone/asp/asl/2015/00000021/00000011/art00034,https://doi.org/10.1166/asl.2015.6603,,"Scopus, Google Scholar",9.0,"Dimensionality reduction is the primary concern in text mining. It helps in reducing the processing overhead when performing text classification and text clustering. Another concern in text clustering and text classification is the similarity measure which we choose to find similarity degree between any two documents. In this paper, we work towards text clustering and text classification by addressing dimensionality reduction using SVD followed by the use of the proposed similarity measure which is an improved version of our previous measure. This proposed measure is used for supervised and un-supervised learning. The proposed distance measure overcomes the disadvantages of the existing measures.",Dimensionality Reduction; SVD; Text Classification; Text Clustering; Text Mining,,,,2015-11-11,,,
Gali Suresh Reddy,"G SureshReddy, TV Rajinikanth, A Ananda Rao",No,Design and analysis of novel similarity measure for clustering and classification of high dimensional text documents,Conference,Proceedings of the 15th International Conference on Computer Systems and Technologies,yes,no,Pages 194-201,2014.0,June,2013-14,https://dl.acm.org/doi/abs/10.1145/2659532.2659615,https://doi.org/10.1145/2659532.2659615,ISBN: 978-1-4503-6536-9,"WoS, SCOPUS, Google Scholar",17.0,"The main idea of this research is to first design the similarity measure which can be used to of find the similarity between any two text documents and use the same to perform clustering. The similarity measure designed is analyzed to study the behavior in the best case, average case and worst case situations. The drawback of Euclidean, Cosine, Jaccard similarity measures are overcome using the proposed measure. The similarity measure is evaluated considering reuters-21578 dataset. The results show that the proposed measure overcomes other measures."," similarity measure, similarity",,,,2014-06-27,,,
Gali Suresh Reddy,"G Suresh Reddy, TV Rajinikanth, A Ananda Rao",No,A frequent term based text clustering approach using novel similarity measure,Conference,2014 IEEE International Advance Computing Conference (IACC),yes,no,"Pages 495-499, Publisher IEEE",2014.0,February,2013-14,https://ieeexplore.ieee.org/abstract/document/6779374,10.1109/IAdCC.2014.6779374,ISBN:978-1-4799-2572-8,"WoS, SCOPUS, Google Scholar",22.0,"Text clustering is an unsupervised process forming its basis solely on finding the similarity relationship between documents with the output as a set of clusters [14]. In this research, a commonality measure is defined to find commonality between two text files which is used as a similarity measure. The main idea is to apply any existing frequent item finding algorithm such as apriori or fp-tree to the initial set of text files to reduce the dimension of the input text files. A document feature vector is formed for all the documents. Then a vector is formed for all the static text input files. The algorithm outputs a set of clusters from the initial input of text files considered.","Clustering algorithms,Vectors,Itemsets,Algorithm design and analysis,Text categorization,Conferences",,,,2014-02-21,,,
Gali Suresh Reddy,Dr. G.Suresh Reddy Ch.Bhanu Pramod,No,The International Journal of Analytical and experimental model analysis,Journal,Turkish Journal of Computer and Mathematics Education,No,No,"Volume 12,Issue14,Pages 236-3246",2021.0,January,2020-2021,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:mVmsd5A6BfQC,,,Google Scholar,0.0,,,,,,2021-01-01,,,
Gali Suresh Reddy,G.Suresh Reddy P.Neelakantan M. Gangappa,No,Recognition of flower species from image,"Journal
",international journal of research and analytical reviews,No,No,"Volume 6,Issue1,Pages 759-765",2019.0,January,2018-19,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:mB3voiENLucC,,,Google Scholar,0.0,,,,,,2019-01-01,,,
Gali Suresh Reddy,"Navya Pagadala Suresh Reddy. G, Raja Vamsi Bandireddy , Likhitha Koppula, Pravallika Sree Vani Nidadavolu",No,Prediction of Chronic Kidney Disease using Machine Learning Techniques,"Conference
",4th International e-Conference on Advances in Computer Engineering and Communication Systems (ICACECS-2023),No,No,"Volume 4,Issue 1,Pages 141-154",2023.0,November,2022-23,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:e5wmG9Sq2KIC,,,Google Scholar,0.0,,,,,,2023-11-01,,,
Gali Suresh Reddy,"Dr. G. Suresh Reddy Dr. Dr. A. Jyothi Babu , Dr. P. Neelakantan",No,Cotton Crop Disease Detection Using Deep Learning Techniques,Conference,2023 IEEE International Conference on ICT in Business Industry & Government (ICTBIG),No,No,"Volume 1,Issue 1,Pages 141-154",2023.0,November,2022-23,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:_Qo2XoVZTnwC,,,Google Scholar,0.0,,,,,,2023-11-01,,,
Gali Suresh Reddy,"Moin Sharukh K.Durga Prasad Varma, Dr.G.Suresh Reddy, J.Narendra",No,Software Dfined Network and Network Function Virtulization: A Comparative Study,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Volume 1,Pages 255-276",2022.0,January,2021-22,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:IWHjjKOFINEC,,,Google Scholar,0.0,,,,,,2022-01-01,,,
Gali Suresh Reddy,G. Suresh Reddy G. Blessina,No,An Intuitive Hybrid Ensemble Approach on Ddos Attack Classification,"Journal
",Journal of Harbin Engineering University,No,No,"Volume 44,Issue 11,Pages 85-100",2023.0,November,2022-23,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:R3hNpaxXUhUC,,,Google Scholar,0.0,,,,,,2023-11-01,,,
Gali Suresh Reddy,G.Suresh Reddy T.Sunil Kumar M.Gangappa P.Neelakantan M Rajasekar,No,fuzzy entropy based clustering architecture for heterogeneous wireless sensor network,"Journal
",International Journal of Computer Network and Information Security,No,no,"Volume 16,Issue1, Pages 141-163",2024.0,February,2023-24,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&citation_for_view=TWM5sRQAAAAJ:RHpTSmoSYBkC,,ISSN: 2074-9090  ISSN: 2074-9104,Google Scholar,0.0,,,,,,2024-02-01,,,
Gali Suresh Reddy,G.Suresh Reddy P.Neelakantan M. Gangappa,No,Teaching and learning process in computer science and engineering at the undergraduate level in order to achieve outcome based education,"Journal
",international journal of research and analytical reviews,No,No,"Volume6,Issue2,Pages 881-887",2019.0,April,2018-19,https://scholar.google.co.in/citations?view_op=view_citation&hl=en&user=TWM5sRQAAAAJ&pagesize=80&citation_for_view=TWM5sRQAAAAJ:hFOr9nPyWt4C,,,Google Scholar,0.0,,,,,,2019-04-01,,,
Gali Suresh Reddy,"G Madhu, G Suresh Reddy, C Kiranmai",No,An impudent approach for intelligent data mining using rough set theory,Journal,International Journal of Computational Intelligence Research,yes,no,"Volume 7, Issue 2, Pages 159-169, Publisher Research India Publications
 Research India Publications",2011.0,April,2010-11,https://go.gale.com/ps/anonymous?id=GALE%7CA323349388&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=09731873&p=AONE&sw=w,,ISSN: 0973-1873,"Scopus, Google Scholar",1.0,"Rough set plays vital role in the field of data mining and Knowledge Discovery, which is also a useful tool for mining rules from decision tables, then solves the bottleneck of knowledge acquisition effectively, thus it is properly applied to the description of intelligent data mining. Intelligent data mining is to use the intelligent search to discover information within data warehouses those queries and reports cannot effectively reveal and to find the patterns in the data and infer rules from them, and use these patterns and rules to guide for decision making and forecasting. The use of rough sets have been considered as to be one of the key role of data mining and knowledge discovery because of affinity with human knowledge representation. In this paper we propose a novel approach to intelligent data mining based on rough sets, and we used notions of rough set theory","dengue, decision rules, data mining, rough sets,",,,,2011-04-01,,,
Gali Suresh Reddy,"B Jalender, A Govardhan, P Premchand, C Kiranmai, G Suresh Reddy",No,Drag and drop: influences on the design of reusable software components,Journal,International Journal on Computer Science and Engineering (IJCSE),yes,no,"Vol. 02, No. 07, 2010,",2011.0,March,2010-11,https://arxiv.org/abs/1103.1497,,ISSN 2386-2393,"Scopus, Google Scholar",8.0,"The fundamental unit of large scale software construction is the component. A component is the fundamental user interface object in Java. Everything you see on the display in a java application is a component. The ability to let users drag a component from the Interface and drop into your application is almost a requirement of a modern, commercial user interface. The CBD approach brings high component reusability and easy maintainability, and reduces time-to-market. This paper describes the component repository which provides functionality for component reuse process through the drag and drop mechanism and it's influences on the reusable components"," component, java, user interface, reusability, drag and drop",,,,2011-03-08,,,
Gali Suresh Reddy,"G Suresh Reddy, B Jalender",No,Strategies for Deploying Reusable software Components,Journal,International Journal of Graphics & Image Processing,yes,no,"Volume 2, Issue 4, Pages 264-273",2011.0,November,2011-12,https://www.researchgate.net/profile/T-V-Rajini-Kanth-2/publication/264553402_Strategies_for_Deploying_Reusable_software_Components/links/53e5f9e80cf21cc29fd08293/Strategies-for-Deploying-Reusable-software-Components.pdf,,ISSN 2249-5452,"Scopus, Google Scholar",2.0,"The paper presents time proven methods and tools for creating, managing, and accessing a library of reusable software components and also software engineering strategies for designing and building reusable components. With proper planning and execution, these methodologies will bring significant cost saving. In addition, cost-benefit guidelines are developed to help an organization decide when the benefits involved in implementing reusable coding procedures outweigh the implementation overhead. Specific recommendations are made for code documentation practices, software design, and management procedures that encourage and result in successful code reuse practices. The paper will address how to deal with specific application data dependencies and engineer software components for portability across different data models.","reusable software components, software engineering strategies, cost saving, code documentation practices, portability across data models",,,,2011-11-01,,,
Gali Suresh Reddy,"G SURESH REDDY, PV SIVA KUMAR, C KIRANMAI",No,A COMPARATIVE STUDY ON MANUAL AND AUTOMATED SYSTEM FOR WIRELESS NETWORKS.,Journal,Journal of Theoretical & Applied Information Technology,yes,no,"Volume 22, Issue 1",2010.0,December,2010-11,http://www.jatit.org/volumes/research-papers/Vol22No1/6Vol22No1.pdf,,ISSN 1817-3195,"Scopus, Google Scholar",0.0,,,,,,2010-12-01,,,
Gali Suresh Reddy,"G Madhu, GS Reddy, C Kiranmai",No,Hypothetical description for intelligent data mining,Journal,International Journal on Computer Science and Engineering,yes,no,"Volume 2, Issue 7, Pages 2349-2352",2010.0,October,2010-11,https://www.researchgate.net/publication/50194207_Hypothetical_Description_for_Intelligent_Data_Mining,,ISSN: 2320-7639,"Scopus, Google Scholar",6.0,"Intelligent data mining is to use the intelligent search to discover information within data warehouses those queries and reports cannot effectively reveal and to find the patterns in the data and infer rules from them, and use these patterns and rules to guide for decision making and forecasting. Therefore the Intelligent data mining incorporates advantages of both knowledge acquisitions from data, and knowledge acquisition from experts. In this paper, we propose a new framework on medical diagnosis for intelligent data mining using computations technique based on rough sets."," dengue fever, data mining,decision tree,rough sets",,,,2010-10-01,,,
Gali Suresh Reddy,Sai Gayatri Vadali and Gali Suresh Reddy,Yes,Artificial Intelligence-Based Automatic Evaluation Engine,Book Chapter,Smart Computing Techniques and Applications,Yes,No,vol 225. pg-225-234,2021.0,July,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-16-0878-0_77#citeas,https://doi.org/10.1007/978-981-16-0878-0_77,ISBN 978-981-16-0877-3,"Scopus, Google Scholar",0.0,"Automatic evaluation of transcripts deals with comparing texts and evaluating them using the best available methods in NLP. The core part of this project is to enable the machine to evaluate descriptive transcripts all by itself. This reduces the human effort correcting huge answers in educational institutions and crowd examination platforms. Finding syntax and semantics out of text has been of great effort since years. As a part of this research, many NLP models like entity recognition, POS tagging, and topic modeling like LSA and LDA have come into existence. We are using a combination of these to get the semantics out of a transcript to eventually evaluate it.","Natural language processing,Evaluation of transcripts,Semantic extraction,Topic modeling,LDA,LSI",,,,2021-07-08,,,
Gali Suresh Reddy,"A.Manisha, G.Suresh Reddy, kshira sagar sahoo",Yes,Software Define Industrial IoT for Smart City Applications,Book Chapter,Software-Defined Networking for Future Internet Technology,Yes,Yes,"Edition-1st Edition, First Published2021, ImprintApple Academic Press, Pg-237-254.",2021.0,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-9/software-defined-industrial-iot-smart-city-applications-manisha-suresh-reddy-kshira-sagar-sahoo,,ISBN-9781003145721,"Scopus, Google Scholar",0.0,"Internet of things (IoT) can be simply referred as a network of physical objects having IP addresses, able to connect and communicate with other devices. IoT plays a vital role in building smart cities and solves different problems from traffic control to environmental issues. Industrial IoT (IIoT) can be referred as an extension that provides the enhancement of infrastructure and delivers the smart connected solutions such as environmental monitoring, smart lights, vehicle parking, etc., and enhances the public transportation, reduces congestion in traffic, provides improved quality of life. Management of smart cities involves big data generated by different IoT devices which is quite difficult and time taking process to handle with traditional administration. Here comes the SDN into picture to solve the problem. SDN enables the cloud computing and provides the facility for network engineers and administrators to respond quickly to the changing business requirements via centralized controller. It is a software-based network, provides more flexibility, and allows users a great management and control of the resources throughout the control plane (CP). It provides an advantage of managing nodes 238through programming. SDN typically runs on server and with the help of different protocols it indicates switches where the packets to be sent. This chapter discusses the impact of SDN as an innovative approach for smart city development.","internet of things (iot), smart cities, industrial iot (iiot), sdn (software-defined networking), big data",,,,2021-07-01,,,
Gali Suresh Reddy,"K. Durga Prasad Varma, G.Suresh Reddy, J.Narendra, M.Sharukh",Yes,Software-Defined Network and Network Function Virtualization: A Comparative Study,Book Chapter,"Networking for Future Internet Technology, Concepts and Applications,",Yes,No,Pg-254-276,2021.0,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-10/software-defined-network-network-function-virtualization-comparative-study-koppada-durgaprasad-varma-suresh-reddy-jangili-narendra-moin-sharukh,,ISBN-9781003145721,"Scopus, Google Scholar",0.0,"Software-defined networks (SDN) is one of the best examples of networking standards aiming towards reaching the goals of overcoming the limitations existing with the traditional networks. SDN enables the software to manage the networks dynamically. Using the software, abstracting of a physical network with virtual networks is possible using SDN. SDN and network functions virtualization (NFV) is that the two of them use network abstraction. SDN tries to separate network control functions from network forwarding functions, while NFV tries to abstract network forwarding and other networking functions from the equipment on which it runs. In this manner, both depend vigorously on virtualization to enable network design and infrastructure to be abstracted in software and then implemented by underlying software across hardware platforms and devices. While both of these new technologies are different in design and implementations, both can enhance network performance effectively. There are various reasons for the growth of both technologies. They can drive big data, smart devices, and distributed servers in an extensive manner. In this chapter, we have highlighted the major significance and difference between these two emerging technologies.","software-defined networks (sdn), networking standards, network functions virtualization (nfv), network abstraction, virtualization, network control functions, network forwarding functions, virtual networks, big data, smart devices",,,,2021-07-01,,,
Gali Suresh Reddy,D NAMRATHA,YES,DESIGN AND IMPLEMENTATION OF IOT BASED SMART HOME AUTOMATION SYSTEM,Journal,The International journal of analytical and experimental modal analysis,no,no,1463-1471,2021.0,September,2020-21,http://www.ijaema.com/VOLUME-XIII-ISSUE-IX-SEPTEMBER-2021/,,ISSN NO:0886-9367,GOOLE SCHOLAR,0.0,,,,,,2021-09-01,,,
Gali Suresh Reddy,CH BHANU PRAMOD,YES,A Tool For Malware And Malicious URL Classification (MAMUC),Journal,Turkish Journal of Computer and Mathematics Education,yes,NO,"Vol 12, Issue 14, pages 3236-3246",2021.0,sEPTEMBER,2020-21,https://www.turcomat.org/index.php/turkbilmat/article/download/10895/8133/19385,https://turcomat.org/index.php/turkbilmat/article/view/10895/8133,e-ISSN 1309-4653,"GOOLE SCHOLAR, Scopus",0.0,"With the rise in use of internet ,also have grown the security concerns associated with it. The most common threats that we encounter on the internet are Malicious URLs and Malware.Traditional solutions for combating these threats, are to build a databases of known sources of trouble or/and using filters to restrict access to resources. This is however not dynamic enough to detect attacks of smart Cyber-criminals. Techniques such as type-squatting, domain-squatting , code obfuscation,etc are hard to identify using conventional methods. Thus to stay one step ahead in the war against Cyber-crime we need to use Machine and Deep learning enabled methods in our defense equipment . The tool Malware and Malicious URL Classifier (MAMUC) is a unique tool which has 3 features. The first feature helps us to identify if a given URL is malicious or benign. This classifier runs on a novel Malben dateset. The second feature is used to covert a malware sample from byte-code to its corresponding malware image. This called as malware visualization,which is a strategy used in static malware inspection. The third feature of the tool is a malware classifier. Once malware is converted to an image ,its analysis is simplified to a case of image classification. This part identifies to which family an input malware is most closely associated with. Once the malware family is identified it is easier to deal with it.","Malware visualization, URL classification , Malware classification,Deep Learning, DCCNN .",,,,2021-09-02,,,
Gali Suresh Reddy,"Venkata Ramana Attili, Sreenivasa Rao Annaluri, Suresh Reddy Gali, Ramasubbareddy Somula",Yes,Behaviour and Emotions of Working Professionals Towards Online Learning Systems: Sentiment Analysis,Journal,International Journal of Gaming and Computer-Mediated Simulations (IJGCMS),Yes,No,"Volume 12, Issue 2, Pages 26-43, Publisher IGI Global",2020.0,April,2019-20,https://www.igi-global.com/article/behaviour-and-emotions-of-working-professionals-towards-online-learning-systems/261256,DOI: 10.4018/IJGCMS.2020040102,,"GOOLE SCHOLAR, Scopus",0.0,"Student behaviour in the classroom depends on various influential factors (such as family, friends, locality, habits, etc.). Once a student enters into professional life after completing the graduation, it finds it difficult to get back to the learning process due to a variety of issues. In such situations, most of the students go for online courses to improve their skills or to get a promotion at work by upgrading their academic degrees. The tendency of working professionals attending online classes is increasing rapidly due to the vast development in technology in recent times and due to the demand for innovative Secunderabad, e technologies. In this paper, a detailed study on a variety of participants from different work domains was carried out to study the sentiments of working professionals by analysing their behaviour and emotions using Hadoop, big data, and R-Language. Using the RFacebook API, the functioning of the students was analysed in this work by using R programming. Results have shown that the behaviour of 89% working professionals is positive, and emotionally, 75% were satisfied with online courses. However, the tendency of being lazy was also expressed by many for online courses.","student behaviour, classroom, online courses, working professionals, technology, sentiments, hadoop, big data, r-language, rfacebook api",,,,2020-04-01,,,
