nameOfAuthor,listOfAuthors,studentPublication,title,typeOfPublication,nameOfPublicationPlatform,scopus,wos,publicationDetails,year,month,academicYear,url,doi,identificationNumber,indexing,noOfCitations,abstract,keywords,specialization,status,link,dateOfPublication
Gali Suresh Reddy,"G Suresh Reddy, TV Rajinikanth, A Ananda Rao",No,A frequent term based text clustering approach using novel similarity measure,Conference,2014 IEEE International Advance Computing Conference (IACC),yes,no,"Pages 495-499, Publisher IEEE",2014,February,2013-14,https://ieeexplore.ieee.org/abstract/document/6779374,10.1109/IAdCC.2014.6779374,ISBN:978-1-4799-2572-8,"WoS, SCOPUS, Google Scholar",22,"Text clustering is an unsupervised process forming its basis solely on finding the similarity relationship between documents with the output as a set of clusters [14]. In this research, a commonality measure is defined to find commonality between two text files which is used as a similarity measure. The main idea is to apply any existing frequent item finding algorithm such as apriori or fp-tree to the initial set of text files to reduce the dimension of the input text files. A document feature vector is formed for all the documents. Then a vector is formed for all the static text input files. The algorithm outputs a set of clusters from the initial input of text files considered.","Clustering algorithms,Vectors,Itemsets,Algorithm design and analysis,Text categorization,Conferences",,,,2014-02-21
Gali Suresh Reddy,"G Madhu, G Suresh Reddy, C Kiranmai",No,An impudent approach for intelligent data mining using rough set theory,Journal,International Journal of Computational Intelligence Research,yes,no,"Volume 7, Issue 2, Pages 159-169, Publisher Research India Publications
 Research India Publications",2011,April,2010-11,https://go.gale.com/ps/anonymous?id=GALE%7CA323349388&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=09731873&p=AONE&sw=w,,ISSN: 0973-1873,"Scopus, Google Scholar",1,"Rough set plays vital role in the field of data mining and Knowledge Discovery, which is also a useful tool for mining rules from decision tables, then solves the bottleneck of knowledge acquisition effectively, thus it is properly applied to the description of intelligent data mining. Intelligent data mining is to use the intelligent search to discover information within data warehouses those queries and reports cannot effectively reveal and to find the patterns in the data and infer rules from them, and use these patterns and rules to guide for decision making and forecasting. The use of rough sets have been considered as to be one of the key role of data mining and knowledge discovery because of affinity with human knowledge representation. In this paper we propose a novel approach to intelligent data mining based on rough sets, and we used notions of rough set theory","dengue, decision rules, data mining, rough sets,",,,,2011-04-01
Gali Suresh Reddy,"B Jalender, A Govardhan, P Premchand, C Kiranmai, G Suresh Reddy",No,Drag and drop: influences on the design of reusable software components,Journal,International Journal on Computer Science and Engineering (IJCSE),yes,no,"Vol. 02, No. 07, 2010,",2011,March,2010-11,https://arxiv.org/abs/1103.1497,,ISSN 2386-2393,"Scopus, Google Scholar",8,"The fundamental unit of large scale software construction is the component. A component is the fundamental user interface object in Java. Everything you see on the display in a java application is a component. The ability to let users drag a component from the Interface and drop into your application is almost a requirement of a modern, commercial user interface. The CBD approach brings high component reusability and easy maintainability, and reduces time-to-market. This paper describes the component repository which provides functionality for component reuse process through the drag and drop mechanism and it's influences on the reusable components"," component, java, user interface, reusability, drag and drop",,,,2011-03-08
Gali Suresh Reddy,"G Suresh Reddy, B Jalender",No,Strategies for Deploying Reusable software Components,Journal,International Journal of Graphics & Image Processing,yes,no,"Volume 2, Issue 4, Pages 264-273",2011,November,2011-12,https://www.researchgate.net/profile/T-V-Rajini-Kanth-2/publication/264553402_Strategies_for_Deploying_Reusable_software_Components/links/53e5f9e80cf21cc29fd08293/Strategies-for-Deploying-Reusable-software-Components.pdf,,ISSN 2249-5452,"Scopus, Google Scholar",2,"The paper presents time proven methods and tools for creating, managing, and accessing a library of reusable software components and also software engineering strategies for designing and building reusable components. With proper planning and execution, these methodologies will bring significant cost saving. In addition, cost-benefit guidelines are developed to help an organization decide when the benefits involved in implementing reusable coding procedures outweigh the implementation overhead. Specific recommendations are made for code documentation practices, software design, and management procedures that encourage and result in successful code reuse practices. The paper will address how to deal with specific application data dependencies and engineer software components for portability across different data models.","reusable software components, software engineering strategies, cost saving, code documentation practices, portability across data models",,,,2011-11-01
Gali Suresh Reddy,"G SURESH REDDY, PV SIVA KUMAR, C KIRANMAI",No,A COMPARATIVE STUDY ON MANUAL AND AUTOMATED SYSTEM FOR WIRELESS NETWORKS.,Journal,Journal of Theoretical & Applied Information Technology,yes,no,"Volume 22, Issue 1",2010,December,2010-11,http://www.jatit.org/volumes/research-papers/Vol22No1/6Vol22No1.pdf,,ISSN 1817-3195,"Scopus, Google Scholar",0,NA,NA,,,,2010-12-01
Gali Suresh Reddy,"G Madhu, GS Reddy, C Kiranmai",No,Hypothetical description for intelligent data mining,Journal,International Journal on Computer Science and Engineering,yes,no,"Volume 2, Issue 7, Pages 2349-2352",2010,October,2010-11,https://www.researchgate.net/publication/50194207_Hypothetical_Description_for_Intelligent_Data_Mining,,ISSN: 2320-7639,"Scopus, Google Scholar",6,"Intelligent data mining is to use the intelligent search to discover information within data warehouses those queries and reports cannot effectively reveal and to find the patterns in the data and infer rules from them, and use these patterns and rules to guide for decision making and forecasting. Therefore the Intelligent data mining incorporates advantages of both knowledge acquisitions from data, and knowledge acquisition from experts. In this paper, we propose a new framework on medical diagnosis for intelligent data mining using computations technique based on rough sets."," dengue fever, data mining,decision tree,rough sets",,,,2010-10-01
Gali Suresh Reddy,Sai Gayatri Vadali and Gali Suresh Reddy,Yes,Artificial Intelligence-Based Automatic Evaluation Engine,Book Chapter,Smart Computing Techniques and Applications,Yes,No,vol 225. pg-225-234,2021,July,2020-21,https://link.springer.com/chapter/10.1007%2F978-981-16-0878-0_77#citeas,https://doi.org/10.1007/978-981-16-0878-0_77,ISBN 978-981-16-0877-3,"Scopus, Google Scholar",0,"Automatic evaluation of transcripts deals with comparing texts and evaluating them using the best available methods in NLP. The core part of this project is to enable the machine to evaluate descriptive transcripts all by itself. This reduces the human effort correcting huge answers in educational institutions and crowd examination platforms. Finding syntax and semantics out of text has been of great effort since years. As a part of this research, many NLP models like entity recognition, POS tagging, and topic modeling like LSA and LDA have come into existence. We are using a combination of these to get the semantics out of a transcript to eventually evaluate it.","Natural language processing,Evaluation of transcripts,Semantic extraction,Topic modeling,LDA,LSI",,,,2021-07-08
Gali Suresh Reddy,"A.Manisha, G.Suresh Reddy, kshira sagar sahoo",Yes,Software Define Industrial IoT for Smart City Applications,Book Chapter,Software-Defined Networking for Future Internet Technology,Yes,Yes,"Edition-1st Edition, First Published2021, ImprintApple Academic Press, Pg-237-254.",2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-9/software-defined-industrial-iot-smart-city-applications-manisha-suresh-reddy-kshira-sagar-sahoo,,ISBN-9781003145721,"Scopus, Google Scholar",0,"Internet of things (IoT) can be simply referred as a network of physical objects having IP addresses, able to connect and communicate with other devices. IoT plays a vital role in building smart cities and solves different problems from traffic control to environmental issues. Industrial IoT (IIoT) can be referred as an extension that provides the enhancement of infrastructure and delivers the smart connected solutions such as environmental monitoring, smart lights, vehicle parking, etc., and enhances the public transportation, reduces congestion in traffic, provides improved quality of life. Management of smart cities involves big data generated by different IoT devices which is quite difficult and time taking process to handle with traditional administration. Here comes the SDN into picture to solve the problem. SDN enables the cloud computing and provides the facility for network engineers and administrators to respond quickly to the changing business requirements via centralized controller. It is a software-based network, provides more flexibility, and allows users a great management and control of the resources throughout the control plane (CP). It provides an advantage of managing nodes 238through programming. SDN typically runs on server and with the help of different protocols it indicates switches where the packets to be sent. This chapter discusses the impact of SDN as an innovative approach for smart city development.","internet of things (iot), smart cities, industrial iot (iiot), sdn (software-defined networking), big data",,,,2021-07-01
Gali Suresh Reddy,"K. Durga Prasad Varma, G.Suresh Reddy, J.Narendra, M.Sharukh",Yes,Software-Defined Network and Network Function Virtualization: A Comparative Study,Book Chapter,"Networking for Future Internet Technology, Concepts and Applications,",Yes,No,Pg-254-276,2021,July,2020-21,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003145721-10/software-defined-network-network-function-virtualization-comparative-study-koppada-durgaprasad-varma-suresh-reddy-jangili-narendra-moin-sharukh,,ISBN-9781003145721,"Scopus, Google Scholar",0,"Software-defined networks (SDN) is one of the best examples of networking standards aiming towards reaching the goals of overcoming the limitations existing with the traditional networks. SDN enables the software to manage the networks dynamically. Using the software, abstracting of a physical network with virtual networks is possible using SDN. SDN and network functions virtualization (NFV) is that the two of them use network abstraction. SDN tries to separate network control functions from network forwarding functions, while NFV tries to abstract network forwarding and other networking functions from the equipment on which it runs. In this manner, both depend vigorously on virtualization to enable network design and infrastructure to be abstracted in software and then implemented by underlying software across hardware platforms and devices. While both of these new technologies are different in design and implementations, both can enhance network performance effectively. There are various reasons for the growth of both technologies. They can drive big data, smart devices, and distributed servers in an extensive manner. In this chapter, we have highlighted the major significance and difference between these two emerging technologies.","software-defined networks (sdn), networking standards, network functions virtualization (nfv), network abstraction, virtualization, network control functions, network forwarding functions, virtual networks, big data, smart devices",,,,2021-07-01
Gali Suresh Reddy,D NAMRATHA,YES,DESIGN AND IMPLEMENTATION OF IOT BASED SMART HOME AUTOMATION SYSTEM,Journal,The International journal of analytical and experimental modal analysis,no,no,1463-1471,2021,September,2020-21,http://www.ijaema.com/VOLUME-XIII-ISSUE-IX-SEPTEMBER-2021/,,ISSN NO:0886-9367,GOOLE SCHOLAR,0,NA,NA,,,,2021-09-01
Gali Suresh Reddy,CH BHANU PRAMOD,YES,A Tool For Malware And Malicious URL Classification (MAMUC),Journal,Turkish Journal of Computer and Mathematics Education,yes,NO,"Vol 12, Issue 14, pages 3236-3246",2021,sEPTEMBER,2020-21,https://www.turcomat.org/index.php/turkbilmat/article/download/10895/8133/19385,https://turcomat.org/index.php/turkbilmat/article/view/10895/8133,e-ISSN 1309-4653,"GOOLE SCHOLAR, Scopus",0,"With the rise in use of internet ,also have grown the security concerns associated with it. The most common threats that we encounter on the internet are Malicious URLs and Malware.Traditional solutions for combating these threats, are to build a databases of known sources of trouble or/and using filters to restrict access to resources. This is however not dynamic enough to detect attacks of smart Cyber-criminals. Techniques such as type-squatting, domain-squatting , code obfuscation,etc are hard to identify using conventional methods. Thus to stay one step ahead in the war against Cyber-crime we need to use Machine and Deep learning enabled methods in our defense equipment . The tool Malware and Malicious URL Classifier (MAMUC) is a unique tool which has 3 features. The first feature helps us to identify if a given URL is malicious or benign. This classifier runs on a novel Malben dateset. The second feature is used to covert a malware sample from byte-code to its corresponding malware image. This called as malware visualization,which is a strategy used in static malware inspection. The third feature of the tool is a malware classifier. Once malware is converted to an image ,its analysis is simplified to a case of image classification. This part identifies to which family an input malware is most closely associated with. Once the malware family is identified it is easier to deal with it.","Malware visualization, URL classification , Malware classification,Deep Learning, DCCNN .",,,,2021-09-02
Gali Suresh Reddy,"Venkata Ramana Attili, Sreenivasa Rao Annaluri, Suresh Reddy Gali, Ramasubbareddy Somula",Yes,Behaviour and Emotions of Working Professionals Towards Online Learning Systems: Sentiment Analysis,Journal,International Journal of Gaming and Computer-Mediated Simulations (IJGCMS),Yes,No,"Volume 12, Issue 2, Pages 26-43, Publisher IGI Global",2020,April,2019-20,https://www.igi-global.com/article/behaviour-and-emotions-of-working-professionals-towards-online-learning-systems/261256,DOI: 10.4018/IJGCMS.2020040102,,"GOOLE SCHOLAR, Scopus",0,"Student behaviour in the classroom depends on various influential factors (such as family, friends, locality, habits, etc.). Once a student enters into professional life after completing the graduation, it finds it difficult to get back to the learning process due to a variety of issues. In such situations, most of the students go for online courses to improve their skills or to get a promotion at work by upgrading their academic degrees. The tendency of working professionals attending online classes is increasing rapidly due to the vast development in technology in recent times and due to the demand for innovative Secunderabad, e technologies. In this paper, a detailed study on a variety of participants from different work domains was carried out to study the sentiments of working professionals by analysing their behaviour and emotions using Hadoop, big data, and R-Language. Using the RFacebook API, the functioning of the students was analysed in this work by using R programming. Results have shown that the behaviour of 89% working professionals is positive, and emotionally, 75% were satisfied with online courses. However, the tendency of being lazy was also expressed by many for online courses.","student behaviour, classroom, online courses, working professionals, technology, sentiments, hadoop, big data, r-language, rfacebook api",,,,2020-04-01
Gali Suresh Reddy,"Vangipuram Radhakrishna, Gunupudi R Kumar, Gali Suresh Reddy, Dammavalam Srinivasa Rao",No,"Machine Learning for Data Mining, Data Science and Data Analytics",Journal,Recent Advances in Computer Science and Communications (Formerly: Recent Patents on Computer Science),Yes,Yes,"Volume 14, Issue 5, Pages 1356-1357, Publisher Bentham Science Publishers",2021,July,2021-22,https://www.ingentaconnect.com/content/ben/rascs/2021/00000014/00000005/art00003,https://doi.org/10.2174/266625581405210129161546,"26662558, 26662566","GOOLE SCHOLAR, Scopus",0,"It has been a huge challenge successfully completing the special issue titled “Machine Learning for Data Mining, Data Science, and Data Analytics” under the reputed journal Recent Advances in Computer Science and Communications, formerly Recent Patents on Computer Science. Most research contributions related to machine learning are primarily devoted to improving the prediction accuracy and performance of the learning model. However, it is a fact that less attention is paid towards mining health care data, hybrid machine learning models, detecting low-frequency attacks [1-3], and addressing optimization. To address these issues, the focus of this special issue in Recent Advances in Computer Science and Communications is on machine learning for data mining, data science, and data analytics.This special issue was planned to receive quality submissions from different parts of the country and the world. Nearly 12 research contributions were received with great enthusiasm from the research and scientific community. Out of these, 4 articles were accepted for inclusion in the special issue after a stringent and thorough review process, at least by two independent referees. The special issue includes four contributions, which were selected after reviews were conducted by experts working in these areas. Here, we present a very brief summary of the selected papers for this special issue and concluding remarks. ","machine learning, data mining, data science, data analytics, health care data, hybrid machine learning models, low-frequency attacks, optimization, recent advances in computer science and communications, special issue",,,,2021-07-01
Gali Suresh Reddy,"Annaluri Sreenivasa Rao, Attili Venkata Ramana, G Suresh Reddy, C Sunil Kumar",No,Removal Based Improved Replication Control and Fault Tolerance Method for Road Traffic Data Management,Journal,International Journal of Computer Science and Information Security (IJCSIS),Yes,Yes,"Volume 16, Issue 3, Pages 141-147",2018,March,2017-18,https://sites.google.com/site/ijcsis/vol-16-no-3-mar-2018,,1947-5500,"Google Scholar, SCOPUS",0,NA,NA,,,,2018-03-01
Gali Suresh Reddy,"A Ananda Rao, G Suresh Reddy and T V Rajinikanth",No,Text Clustering using Incremental Frequent Pattern Mining Approach,Journal,International Journal of Data Mining & Knowledge Management Process (IJDKP),Yes,No,"Volume 5, No.6,",2015,November,2015-16,https://www.researchgate.net/publication/286643399_Text_Clustering_Using_Incremental_Frequent_Pattern_Mining_Approach,DOI:10.5121/ijdkp.2015.5605,,Researchgate,0,"Text mining is an emerging research field evolving from information retrieval area. Clustering and classification are the two approaches in data mining which may also be used to perform text classification and text clustering. The former is supervised while the later is un-supervised. In this paper, our objective is to perform text clustering by defining an improved distance metric to compute the similarity between two text files. We use incremental frequent pattern mining to find frequent items and reduce dimensionality. The improved distance metric may also be used to perform text classification. The distance metric is validated for the worst, average and best case situations [15]. The results show the proposed distance metric outperforms the existing measures","frequent items, text mining, dimensionality reduction",,,,2015-11-01
Gali Suresh Reddy,"Koppada Durgaprasad Varma, G Suresh Reddy, Jangili Narendra and Moin Sharukh",Yes,Software-Defined Network and Network Function Virtualization : A Comparative Study,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,0,"Network infrastructures are growing rapidly to meet the needs of business, but the required repolicing and reconfiguration provide challenges that need to be addressed. The software-defined network (SDN) is the future generation of Internet technology that can help meet these challenges of network management.This book includes quantitative research, case studies, conceptual papers, model papers, review papers, and theoretical backing on SDN. This book investigates areas where SDN can help other emerging technologies deliver more efficient services, such as IoT, industrial IoT, NFV, big data, blockchain, cloud computing, and edge computing. The book demonstrates the many benefits of SDNs, such as reduced costs, ease of deployment and management, better scalability, availability, flexibility and fine-grained control of traffic, and security. The book demonstrates the many benefits of SDN, such as reduced costs, ease of deployment and management, better scalability, availability, flexibility and fine-grained control of traffic, and security.","network infrastructures, software-defined network (sdn), internet technology, iot (internet of things), industrial iot, nfv (network function virtualization), big data, blockchain, cloud computing, edge computing",,,,2021-09-30
Gali Suresh Reddy,"A Manisha, G Suresh Reddy and Kshira Sagar Sahoo",Yes,Software-Defined Industrial IoT for Smart City Applications,Book Chapter,Software Defined Networking for Future Internet Technology - Concepts and Applications,No,No,"Publisher, CRC Press",2021,August,2021-22,https://www.amazon.com/Software-Defined-Networking-Future-Internet-Technology/dp/1771889861,,ISBN-10 ? : ? 1771889861,Google Scholar,0,"Network infrastructures are growing rapidly to meet the needs of business, but the required repolicing and reconfiguration provide challenges that need to be addressed. The software-defined network (SDN) is the future generation of Internet technology that can help meet these challenges of network management.This book includes quantitative research, case studies, conceptual papers, model papers, review papers, and theoretical backing on SDN. This book investigates areas where SDN can help other emerging technologies deliver more efficient services, such as IoT, industrial IoT, NFV, big data, blockchain, cloud computing, and edge computing. The book demonstrates the many benefits of SDNs, such as reduced costs, ease of deployment and management, better scalability, availability, flexibility and fine-grained control of traffic, and security. The book demonstrates the many benefits of SDN, such as reduced costs, ease of deployment and management, better scalability, availability, flexibility and fine-grained control of traffic, and security.","network infrastructures, software-defined network (sdn), internet technology, iot (internet of things), industrial iot, nfv (network function virtualization), big data, blockchain, cloud computing, edge computing",,,,2021-09-30
Gali Suresh Reddy,"B Yogesh, G Suresh Reddy",Yes,Intrusion detection System using Random Forest Approach,Journal,Turkish Journal of Computer and Mathematics Education (TURCOMAT),No,No,Volume 13 Issue 2 Pages 725-733,2022,April,2021-22,https://www.turcomat.org/index.php/turkbilmat/article/view/12527,https://www.turcomat.org/index.php/turkbilmat/article/view/12527/9068,1309-4653,Google Scholar,0,"The advancing area of technology presents a attack of new attacks for the criminals and the specialists. It presently gotten to be a major concern within the cyberspace. It is the advancement in the computer elevated for the protection of programs by various programmers. The reason these systems display the attacks that are encountered in the internet, by using alternate in the regular attack. The classification algorithms are used for analyzing NSL Dataset with Attributes. The classification used in this project are support SVM, RFC, K Neighbors Classifier, Logistic Regression, Naive bayes. Feature extraction is part of the RFE. These are used to test the attacks on various classes. The results that are found that the RFC gives the performance more compared to the other classification with the high accuracy","Intrusion Detection System (IDS), SVM, NSL dataset, Logistic Regression, NB Classifier, Random Forest Algorithm (RFA).",,,,2022-04-01
