nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,Citations,Abstract,keywords,specialization,status,LINK
V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram",No,Regression analysis for network intrusion detection,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,"International Conference on Data Science, E-learning and Information Systems 2021",2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460751,https://doi.org/10.1145/3460620.3460751,,,,,NA,,,VRK-C094
V Radhakrishna,"Arun Nagaraja, Uma Boregowda, Radhakrishna Vangipuram, Rajeshkumar Gunupudi",No,Design of Gaussian Similarity Measure for Network Anomaly Detection,conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 225-230,2021,April,2020-21,,https://doi.org/10.1145/3460620.3460759,,,,,NA,,,VRK-C093
V Radhakrishna,Radhakrishna Vangipuram Aravind Cheruvu,No,A Survey of Similarity Measures for Time stamped Temporal Datasets,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 193–197,2021,April,2020-21,,https://doi.org/10.1145/3460620.3460754,,,,,NA,,,VRK-C092
V Radhakrishna,"Aravind Cheruvu Phridviraj M.S.B , Guru Rao C.V , Radhakrishna Vangipuram",No,Similarity Association Pattern Mining in Transaction Databases,conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,Pages 180–184,2021,April,2020-21,https://dl.acm.org/doi/abs/10.1145/3460620.3460752,https://doi.org/10.1145/3460620.3460752,,,,,NA,,,VRK-C091
V Radhakrishna,"Vangipuram R., Gunupudi R.K., Puligadda V.K., Vinjamuri J.",No,A machine learning approach for imputation and anomaly detection in IoT environment,Conference,Expert Systems,Yes,Yes,Vol-37 Issue-5 Pages - - Publisher Blackwell Publishing Ltd,2020,November,2020-21,,10.1111/exsy.12556,ISSN:1468-0394,Blackwell Publishing Ltd,17,,NA,,,VRK-J089
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Kumar G.R.",No,An imputation measure for data imputation and disease classification of medical datasets,Conference,AIP Conference Proceedings,Yes,Yes,Vol-2146 Issue- Pages - - Publisher American Institute of Physics Inc.,2019,August,2019-20,,10.1063/1.5123688,9.78E+12,American Institute of Physics Inc.,12,,NA,,,VRK-C084
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Kumar G.R.",No,A recent survey on challenges in security and privacy in internet of things,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330457,9.78E+12,Association for Computing Machinery,9,,NA,,,VRK-C083
V Radhakrishna,"Radhakrishna V., Janaki V., Aljawarneh S., Kumar P.V., Cheruvu A.",No,Tree based data fusion approach for mining temporal patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330463,9.78E+12,Association for Computing Machinery,13,,NA,,,VRK-C082
V Radhakrishna,"Radhakrishna V., Aljawarneh S., Kumar P.V., Janaki V., Cheruvu A.",No,Discovery of time profiled temporal patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330459,9.78E+12,Association for Computing Machinery,,,NA,,,
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Cheruvu A.",No,Nirnayam - Fusion of iterative rule based decisions to build decision trees for efficient classification,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,June,2018-19,,10.1145/3330431.3330458,9.78E+12,Association for Computing Machinery,15,,NA,,,VRK-C081
V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Atwood J.W.",No,Ultimate - Unearthing latent time profiled temporal associations,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,March,2018-19,,10.1145/3279996.3280025,9.78E+12,Association for Computing Machinery,37,,NA,,,
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Reddy G.S.",No,MANTRA - A novel imputation measure for disease classification and prediction,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,October,2018-19,,10.1145/3279996.3280021,9.78E+12,Association for Computing Machinery,,,NA,,,
V Radhakrishna,"Radhakrishna V., Aljawarneh S., Kumar P.V., Cheruvu A.",No,Kaala VRKSHA - Extending VRKSHA for time profiled temporal association mining,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,October,2018-19,,10.1145/3279996.3280026,9.78E+12,Association for Computing Machinery,34,,NA,,,VRK-C077
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,Krishna sudarsana – A Z-space similarity measure,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,June,2017-18,,10.1145/3234698.3234742,9.78E+12,Association for Computing Machinery,38,,NA,,,
V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Atwood J.W.",No,Ultimate - Unearthing latent time profiled temporal associations,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2019,March,2018-19,,10.1145/3279996.3280025,9.78E+12,Association for Computing Machinery,37,,NA,,,VRK-C076
V Radhakrishna,"Radhakrishna V., Aljawarneh S., Cheruvu A.",No,Sequential approach for mining of temporal itemsets,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,June,2017-18,,10.1145/3234698.3234731,9.78E+12,Association for Computing Machinery,36,,NA,,,
V Radhakrishna,"Srinivas C., Guru Rao C.V., Radhakrishna V.",No,Feature vector based component clustering for software reuse,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,June,2017-18,,10.1145/3234698.3234737,9.78E+12,Association for Computing Machinery,,,NA,,,
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Cheruvu A.",No,Vrksha – A novel multi-tree based sequential approach for seasonal pattern mining,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,June,2017-18,,10.1145/3234698.3234735,9.78E+12,Association for Computing Machinery,51,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V., Aljawarneh S.",No,GANDIVA - Time profiled temporal pattern tree,Conference,ACM International Conference Proceeding Series,Yes,Yes,Publisher Association for Computing Machinery,2018,June,2017-18,,10.1145/3234698.3234734,9.78E+12,Association for Computing Machinery,46,,NA,,,
V Radhakrishna,"Cheruvu A., Radhakrishna V., Rajasekhar N.",No,Using normal distribution to retrieve temporal associations by Euclidean distance,Conference,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017",Yes,Yes,Vol-2018-January Issue- Pages - 1-3 Publisher Institute of Electrical and Electronics Engineers Inc.,2018,February,2017-18,,10.1109/ICEMIS.2017.8273101,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,25,,NA,,,
V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Cheruvu A.",No,Extending the Gaussian membership function for finding similarity between temporal patterns,Conference,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017",Yes,Yes,Vol-2018-January Issue- Pages - 1-6 Publisher Institute of Electrical and Electronics Engineers Inc.,2018,February,2017-18,,10.1109/ICEMIS.2017.8273100,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,40,,NA,,,
V Radhakrishna,"Aljawarneh S.A., Radhakrishna V., Kumar G.R.",No,A fuzzy measure for intrusion and anomaly detection,Conference,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017",Yes,Yes,Vol-2018-January Issue- Pages - 1-6 Publisher Institute of Electrical and Electronics Engineers Inc.,2018,February,2017-18,,10.1109/ICEMIS.2017.8273113,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,25,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Aljawarneh S.A., Janaki V.",No,Design and analysis of a novel temporal dissimilarity measure using Gaussian membership function,Conference,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017",Yes,Yes,Vol-2018-January Issue- Pages - 1-5 Publisher Institute of Electrical and Electronics Engineers Inc.,2018,February,2017-18,,10.1109/ICEMIS.2017.8273098,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,42,,NA,,,
V Radhakrishna,"Radhakrishna V., Aljawarneh S.A., Janaki V., Kumar P.V.",No,Looking into the possibility for designing normal distribution based dissimilarity measure to discover time profiled association patterns,Conference,"Proceedings - 2017 International Conference on Engineering and MIS, ICEMIS 2017",Yes,Yes,Vol-2018-January Issue- Pages - 1-5 Publisher Institute of Electrical and Electronics Engineers Inc.,2018,February,2017-18,,10.1109/ICEMIS.2017.8273097,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,39,,NA,,,
V Radhakrishna,"N. Rajasekhar Aravind Cheruvu, V. Radhakrishna",No,Using normal distribution to retrieve temporal associations by Euclidean distance,Conference,2017 International Conference on Engineering & MIS (ICEMIS),Yes,Yes,Pages 1-3,2018,February,2017-18,,DOI: 10.1109/ICEMIS.2017.8273101,ISSN: 2575-1328,,,,NA,,,
V Radhakrishna,"Aravind Cheruvu Shadi Aljawarneh, V. Radhakrishna",No,VRKSHA: A Novel Multi-Tree Based Sequential Approach for Seasonal Pattern Mining,Conference,Published in: · Proceeding ICEMIS '18 Proceedings of the Fourth International Conference on Engineering & MIS 2018,Yes,Yes,Pages 1-10 Article No.: 37,2018,June,2017-18,,https://doi.org/10.1145/3234698.3234735,ISBN: 978-1-4503-6392-1,,51,,NA,,,
V Radhakrishna,"V.Janaki Vangipuram Radhakrishna, P.V.Kumar",No,Krishna Sudarsana: A Z-Space Similarity Measure,Conference,ICEMIS '18 Proceedings of the Fourth International Conference on Engineering & MIS 2018,Yes,Yes,Article No.: 44Pages 1–4,2018,June,2017-18,,https://doi.org/10.1145/3234698.3234742,ISBN: 978-1-4503-6392-1,,38,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A computationally efficient approach for mining similar temporal patterns,Conference,Advances in Intelligent Systems and Computing,Yes,Yes,Vol-576 Issue- Pages - 197-208 Publisher Springer Verlag,2017,May,2016-17,,10.1007/978-3-319-58088-3_19,9.78E+12,Springer Verlag,37,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V., Rajasekhar N.",No,Estimating prevalence bounds of temporal association patterns to discover temporally similar patterns,Conference,Advances in Intelligent Systems and Computing,Yes,Yes,Vol-576 Issue- Pages - 209-220 Publisher Springer Verlag,2017,May,2016-17,,10.1007/978-3-319-58088-3_20,9.78E+12,Springer Verlag,25,,NA,,,
V Radhakrishna,"Cheruvu A., Radhakrishna V.",No,Estimating temporal pattern bounds using negative support computations,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745352,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,21,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A computationally optimal approach for extracting similar temporal patterns,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745344,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,35,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,Looking into the possibility of novel dissimilarity measure to discover similarity profiled temporal association patterns in IoT,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745353,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,39,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,Mining of outlier temporal patterns,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745343,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,70,,NA,,,
V Radhakrishna,"Aljawarneh S., Radhakrishna V., Kumar P.V., Janaki V.",No,A similarity measure for temporal pattern discovery in time series data generated by IoT,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745355,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,71,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V., Aljawarneh S.",No,A similarity measure for outlier detection in timestamped temporal databases,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745347,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,54,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V., Aljawarneh S.",No,A computationally efficient approach for temporal pattern mining in IoT,Conference,"Proceedings - 2016 International Conference on Engineering and MIS, ICEMIS 2016",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,November,2016-17,,10.1109/ICEMIS.2016.7745354,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A novel approach to discover similar temporal association patterns in a single database scan,Conference,"2015 IEEE International Conference on Computational Intelligence and Computing Research, ICCIC 2015",Yes,Yes,Publisher Institute of Electrical and Electronics Engineers Inc.,2016,March,2015-16,,10.1109/ICCIC.2015.7435809,9.78E+12,Institute of Electrical and Electronics Engineers Inc.,25,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,Mining outlier temporal association patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,"Vol-04-05-March-2016, Publisher Association for Computing Machinery",2016,March,2015-16,,10.1145/2905055.2905320,9.78E+12,Association for Computing Machinery,,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A single database scan approach for mining temporally similar association patterns,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-04-05-March-2016 Issue- Pages - - Publisher Association for Computing Machinery,2016,March,2015-16,,10.1145/2905055.2905287,9.78E+12,Association for Computing Machinery,14,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,An approach for mining similar temporal association patterns in single database scan,Conference,"Smart Innovation, Systems and Technologies",Yes,Yes,Vol-51 Issue- Pages - 607-617 Publisher Springer Science and Business Media Deutschland GmbH,2016,March,2015-16,,,9.78E+12,Springer Science and Business Media Deutschland GmbH,26,,NA,,,
V Radhakrishna,RadhaKrishna V.,No,Design and analysis of novel kernel measure for software fault localization,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,19,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A survey on temporal databases and data mining,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,47,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A temporal pattern mining based approach for intrusion detection using similarity measure,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,20,,NA,,,
V Radhakrishna,"Sruthi B., Scholar P.G., Radhakrishna V.",No,Secure data transmission using MS-extended 8-bit ASCII character set,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,2,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,An approach for mining similarity profiled temporal association patterns using Gaussian based dissimilarity measure,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,50,,NA,,,
V Radhakrishna,"Srinivas C., Radhakrishna V., Guru Rao C.V.",No,Clustering software project components for strategic decisions and building reuse libraries,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,24,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar P.V., Janaki V.",No,A novel approach for mining similarity profiled temporal association patterns using venn diagrams,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,36,,NA,,,
V Radhakrishna,"Radhakrishna V., Kumar G.R., Aljawarneh S.",No,Strategic application of software process model to optimize business intelligence results,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol-24-26-September-2015 Issue- Pages - - Publisher Association for Computing Machinery,2015,September,2015-16,,,9.78E+12,Association for Computing Machinery,7,,NA,,,
V Radhakrishna,"Phridviraj M.S.B., Radhakrishna V., Vinay Kumar K., GuruRao C.V.",No,A novel similarity measure for clustering customer transactions using ternary sequence vector,Conference,Advances in Intelligent Systems and Computing,Yes,Yes,Vol-347 Issue- Pages - 297-308 Publisher Springer Verlag,2015,June,2014-15,,,9.78E+12,Springer Verlag,15,,NA,,,
V Radhakrishna,"Radhakrishna V., Srinivas C., Gururao C.V.",No,A modified Gaussian similarity measure for clustering software components and documents,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol- Issue- Pages - 99-104 Publisher Association for Computing Machinery,2014,May,2013-14,,,9.78E+12,Association for Computing Machinery,36,,NA,,,
V Radhakrishna,"Srinivas C., Radhakrishna V., Guru Rao C.V.",No,Clustering and classification of software component for efficient component retrieval and building component reuse libraries,Conference,Procedia Computer Science,Yes,Yes,Vol-31 Issue- Pages - 1044-1050 Publisher Elsevier B.V.,2014,June,2013-14,,,,Elsevier B.V.,53,,NA,,,
V Radhakrishna,"Vangipuram R., Kumarz P.V., Janaki V.",No,Optimal pattern search for database systems,Conference,"Proceedings of the 2013 International Conference on Pattern Recognition, Informatics and Mobile Engineering, PRIME 2013",Yes,Yes,Vol- Issue- Pages - 491-495,2013,April,2012-13,,,9.78E+12,,4,,NA,,,
V Radhakrishna,"Srinivas C., Radhakrishna V., Guru Rao C.V.",No,Clustering software components for component reuse and program restructuring,Conference,ACM International Conference Proceeding Series,Yes,Yes,Vol- Issue- Pages - 261-266 Publisher Association for Computing Machinery,2013,December,2013-14,,,9.78E+12,Association for Computing Machinery,29,,NA,,,
V Radhakrishna,"Radhakrishna V., Srinivas C., Guru Rao C.V.",No,Document clustering using hybrid XOR similarity function for efficient software component reuse,Conference,Procedia Computer Science,Yes,Yes,Vol-17 Issue- Pages - 121-128 Publisher Elsevier B.V.,2013,July,2012-13,,,,Elsevier B.V.,22,,NA,,,
V Radhakrishna,"Krishna V.R., Srinivas C., Rao C.V.G.",No,High performance pattern search algorithm using three sliding windows,Conference,"3rd Nirma University International Conference on Engineering, NUiCONE 2012",Yes,Yes,,2012,April,2011-12,,,9.78E+12,,3,,NA,,,
V Radhakrishna,"Radhakrishna V., Sravankiran V., Ravikiran K.",No,Automating ETL process with scripting technology,Conference,"3rd Nirma University International Conference on Engineering, NUiCONE 2012",Yes,Yes,,2012,November,2012-13,,,9.78E+12,,12,,NA,,,
V Radhakrishna,"Shadi Aljawarneh, Vangipuram Radhakrishna, Gali Suresh Reddy",No,Mantra: a novel imputation measure for disease classification and prediction,Conference,"DATA'21: International Conference on Data Science, E-learning and Information Systems 2021",Yes,Yes,"Article No.: 25, Pages 1–5",2021,May,2020-21,,https://doi.org/10.1145/3279996.3280021,ISBN: 978-1-4503-6536-9,,38,,NA,,,VRK-C075
"Dr Srinivasa Rao Dammavalam K.Lakshman Srikanth, J.Noshitha Padma Pratyusha, Sucharitha M, Tejaswini M and Ashwini T",,Yes,Development of Artificial Intelligence Based Chatbot Using Deep Neural Network,conference-ICIVC 2021,SCRS Conference Proceedings on Intelligent Systems,No,No,"Pages 41-54, Publisher Springer, Singapore,",2021,May,2020-21,https://link.springer.com/chapter/10.1007/978-981-33-4582-9_4,https://doi.org/10.1007/978-981-33-4582-9_4,ISBN-978-981-33-4581-2,,1,,"SVM,GLCM,K-means,Accuracy,Deep learning,KNN",,,
Dr Dammavalam Srinivasa Rao,"Dammavalam S.R., Maddala S., Krishna Prasad M.H.M.",No,Iterative image fusion using fuzzy logic with applications,Conference,Advances in Computing and Information Technology,yes,yes,"Advances in Intelligent Systems and Computing, vol 177. Pages 145-152, Publisher Springer, Berlin, Heidelberg",2012,July,2011-12,https://link.springer.com/chapter/10.1007/978-3-642-31552-7_16,https://doi.org/10.1007/978-3-642-31552-7_16,ISBN: 978-3-642-31552-7,,1,,"image fusion,panchromatic,multispectral,fuzzy logic,image quality index,mutual information measure,entropy,correlation coefficient",,,
Dr Dammavalam Srinivasa Rao,"Dammavalam Srinivasa Rao, M Seetha, Munaga Hazarath",No,Iterative image fusion using neuro fuzzy logic and applications,Conference,"International Conference on Machine Vision and Image Processing (MVIP), MVIP 2012",yes,yes,"International Conference on Machine Vision and Image Processing (MVIP), Pages 121-124, Coimbatore, India, Publisher: IEEE",2012,December,2012-13,https://ieeexplore.ieee.org/abstract/document/6428775,DOI: 10.1109/MVIP.2012.6428775,ISBN:978-1-4673-2319-2,,7,,"image fusion,panchromatic,multispectral,neuro fuzzy logic,image quality index,mutual information measure,entropy,correlation coefficient",,,
