nameOfAuthor,listOfAuthors,studentPublication,title,Type of Publication,conferenceName,scopus,wos,publicationDetails,year,month,academicYear,url,doi,ISBN,indexingDetails,noOfCitations,abstract,keywords,specialisation,status,link
Nimmala Mangathayaru,"Arun Nagaraja, Rajesh Kumar Gunupudi, R Saravana Kumar, Nimmala Mangathayaru",,Optimization of Access Points in Wireless Sensor Network: An Approach towards Security,Book Chapter,Computer Science On-line Conference 2015,,,"Advances in Intelligent Systems and Computing, vol 348. Pages 299-306, Springer, Cham.",2015,April,2014-15,https://link.springer.com/chapter/10.1007/978-3-319-18503-3_29,https://doi.org/10.1007/978-3-319-18503-3_29,ISBN978-3-319-18503-3,,,,"Optimization,Access Point,Wireless Sensor Network,Craving Algorithm",,,
Nimmala Mangathayaru,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Aditya Kolli, Avinash Komatineni, Srihitha Reddy, Shivani Reddy",Yes,Machine Learning Approach for Detection of Cardiology Diseases,Book Chapter,"International Conference on Advanced Informatics for Computing Research-ICAICR 2021:, Advanced Informatics for Computing Research - Springer Cham",-,-,"Communications in Computer and Information Science, vol 1575. Springer, Cham.",2022,June,2021-22,https://link.springer.com/chapter/10.1007/978-3-031-09469-9_16,https://doi.org/10.1007/978-3-031-09469-9_16,Print ISBN -978-3-031-09468-2,,,,"Accuracy,ML models,Heart disease,Prediction,Web application,Graph",,,
B.Mathura Bai,"B.Mathura Bai,P.Srikanth",,Clustering and Classification of Effective Diabetes Diagnosis:Computational Intelligence Techniques Using PCA with kNN,Book Chapter,"Smart Innovation, Systems and Technologies",,,Volume 1,2017,March,2016-17,https://link.springer.com/chapter/10.1007/978-3-319-63673-3_52,10.1007/978-3-319-63673-3_52,ISBN: 978-3-319-63673-3_52,,,,"Diabetes disease,Clustering,Classification,Distribution function and PCA with kNN",,,
B.Mathura Bai,"N.Mangathayaru,B.Padmaja Rani",,Diabetes Complications Prediction using Different Multi-label classification algorithms-MEKA,Book Chapter,"ICICCT-2019, International Conference on Intelligent Computing and Communication Technologies",,,"BVRIT, Hyderabad",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-8461-5_43,https://doi.org/10.1007/978-981-13-8461-5,ISBN: 978-981-13-8461-5,,,,"Diabetes Mellitus,Multi-label classification,MEKA,NCD",,,
B.Mathura Bai,"N Mangathayaru, B Mathura Bai, G Sunil, G Hanisha Durga, C Anjani Varma, V Sai Sarath, J Sai Sandeep",,Diagnosis of Diabetes Using Clinical Decision Support System,Book Chapter,International Conference on Computational Intelligence and Informatics (ICCII-2018),,,"vol 1090. Springer, Singapore.",2020,March,2019-20,https://doi.org/10.1007/978-981-15-1480-7_29,DOIhttps://doi.org/10.1007/978-981-15-1480-7_29,ISBN978-981-15-1479-1,,,ND,"Clinical decision support system,J48 decision tree,Diabetes,Missing values,Normalization,Feature selection",,,
Dr G Madhu,Golla Madhu,,Computer Vision and Machine Learning Approach for Malaria Diagnosis in Thin Blood Smears from Microscopic Blood Images,Book Chapter,Machine Learning for Intelligent Decision Science,Yes,no,Copyright Details: Springer Nature Singapore Pte Ltd. 2020,2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-3689-2_8,https://doi.org/10.1007/978-981-15-3689-2_8,978-981-15-3689-2,,,,"Computer vision,Extra trees classifier,Machine learning,Malaria,Microscopic blood images",,,
Dr G Madhu,"Madhu Golla, Sudipta Rudra",,A Novel Approach of K-SVD-Based Algorithm for Image Denoising,Book Chapter,Histopathological Image Analysis in Medical Decision Making,no,no,"Pages 154-180, Publisher IGI Global",2019,September,2019-20,https://www.igi-global.com/chapter/a-novel-approach-of-k-svd-based-algorithm-for-image-denoising/212543,DOI: 10.4018/978-1-5225-6316-7.ch007,ISBN13: 9781522563167,,,,NA,,,
Dr G Madhu,Golla Madhu,,Gaussian Membership Function and Type II Fuzzy Sets Based Approach for Edge Enhancement of Malaria Parasites in Microscopic Blood Images,Book Chapter,ISMAC 2018: Proceedings of the International Conference on ISMAC in Computational Vision and Bio-Engineering 2018 (ISMAC-CVB),yes,no,"LNCVB, volume 30, pp 651-664",2019,January,2018-19,https://link.springer.com/chapter/10.1007/978-3-030-00665-5_64,https://doi.org/10.1007/978-3-030-00665-5_64,ISBN: 978-3-030-00665-5,,,,"Edge enhancement,Gaussian membership,Interval type II fuzzy set,Malaria parasite,Microscopic images",,,
Dr G Madhu,"Madhu Golla, Sudipta Rudra",,A Novel Approach of K-SVD-Based Algorithm for Image Denoising,Book Chapter,Histopathological Image Analysis in Medical Decision Making,no,no,Pages: 27,2019,September,2019-20,https://www.igi-global.com/chapter/a-novel-approach-of-k-svd-based-algorithm-for-image-denoising/212543,DOI: 10.4018/978-1-5225-6316-7.ch007,ISBN13: 9781522563167,,4,,"Block Matching,K-SVD,Denoising,Image Noise,Sparse Coding,Matching Pursuit,Entropy,Sparse Representation,Dictionary Learning",,,
Dr G Madhu,"Golla Madhu, A Govardhan",,Artificial Intelligence Based Diagnostic Model for the Detection of Malaria Parasites from Microscopic Blood Images,Book Chapter,Intelligent Interactive Multimedia Systems for e-Healthcare Applications,Yes,No,pp 215-233,2022,Nov,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-6542-4_12,,,,,,"Color histogram,Descriptors,Feature extraction,Hu moments,Haralick,Malaria,Microscopic images,Random forest,SURF",,,
Dr G Madhu,"G. Madhu, G. Nagachandrika , A. Govardhan, K. Lakshman Srikanth",,Automatic Screening of COVID-19 Based on CT Scan Images Through Extreme Gradient Boosting,Book Chapter,Artificial Intelligence Applications for Health Care,Yes,No,Pages 140-158,2022,Feb,2021-22,https://books.google.co.in/books?id=PNlfEAAAQBAJ&newbks=0&printsec=frontcover&pg=PA139&dq=DOI:+10.1201/9781003241409-8&hl=en&source=newbks_fb&redir_esc=y#v=onepage&q=DOI%3A%2010.1201%2F9781003241409-8&f=false,DOI: 10.1201/9781003241409-8,,,,,NA,,,
Dr G Madhu,"Avinash Sharma G. Madhu, Sandeep Kautish, A. Govardhan, Mathura Prasad Thapliyal",,Emerging Computational Approaches in Telehealth and Telemedicine: A Look at The Post-COVID-19 Landscape,Book,"Advances in Data Science-Driven Technologies (Volume 1), Bentham Science Publishers",Yes,Yes,"Volume 1, Pages 1-174",2022,November,2022-23,https://benthamscience.com/ebook_volume/3425,DOI: 10.3233/JIFS-212416,ISBN (Online): 978-981-5079-27-2,,,,NA,,,
Gunupudi Rajesh Kumar,"Arun Nagaraja, Rajesh Kumar Gunupudi, R Saravana Kumar, Nimmala Mangathayaru",,Optimization of Access Points in Wireless Sensor Network: An Approach towards Security,Book Chapter,Computer Science On-line Conference 2015,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 348. Pages 299-306, Springer, Cham.",2015,April,2014-15,https://link.springer.com/chapter/10.1007/978-3-319-18503-3_29,https://doi.org/10.1007/978-3-319-18503-3_29,ISBN978-3-319-18503-3,,,,"Optimization,Access Point,Wireless Sensor Network,Craving Algorithm",,,GRK-PUB-016
Gunupudi Rajesh Kumar,"E. Rama Krishna, A. Venkat Reddy, N. Rambabu, G. Rajesh Kumar",,SLV: Sweep Line Voronoi Ad Hoc Routing Algorithm,Book Chapter,"International Conference, AIM 2011,",Yes,Yes,"Nagpur, Maharashtra, India, April 21-22, 2011. Proceedings",2011,November,40878,https://www.springerprofessional.de/en/information-technology-and-mobile-communication/3630400?tocPage=1,DOI-https://doi.org/10.1007/978-3-642-20573-6_37,ISBN: 978-3-642-20572-9,,,,NA,,,GRK-PUB-008
Nimmala Mangathayaru,"Gunupudi Rajesh Kumar, Nimmala Mangathayaru, Aditya Kolli, Avinash Komatineni, Srihitha Reddy, Shivani Reddy",Yes,Machine Learning Approach for Detection of Cardiology Diseases,Book Chapter,"International Conference on Advanced Informatics for Computing Research-ICAICR 2021:, Advanced Informatics for Computing Research - Springer Cham",-,-,"Communications in Computer and Information Science, vol 1575. Springer, Cham.",2022,June,2021-22,https://link.springer.com/chapter/10.1007/978-3-031-09469-9_16,https://doi.org/10.1007/978-3-031-09469-9_16,Print ISBN -978-3-031-09468-2,,,,"Accuracy,ML models,Heart disease,Prediction,Web application,Graph",,,
A.Revathi,"A Revathi, D Kalyani, Somula Ramasubbareddy, K Govinda",No,Critical Review on Course Recommendation System with Various Similarities,Book Chapter,Embedded Systems and Artificial Intelligence,Yes,Yes,"Pages 843-852 Publisher Springer, Singapore",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_80,DOI: https://doi.org/10.1007/978-981-15-0947-6_80,ISBN: 978-981-15-0946-9,,,,"Recommendation systems,GQL,Cosine similarity,DBMS",,,
G Naga Chandrika,"G Madhu, A Govardhan, K Lakshman Srikanth, G Nagachandrika",No,"Automatic Screening of COVID-19 Based on CT Scan Images
 Through Extreme Gradient Boosting",Bookchapter,Artificial Intelligence Applications for Health Care,Yes,no,Pp: 139-161,2022,,2021-22,,,,,,,NA,,,
G Naga Chandrika,"G Madhu, A Govardhan, K Lakshman Srikanth, G Nagachandrika",,Automatic Screening of COVID-19 Based on CT Scan Images Through Extreme Gradient Boosting,Bookchapter,CRC Press,,,Book Artificial Intelligence Applications for Health Care Pages 139-161,,,2021-22,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003241409-8/automatic-screening-covid-19-based-ct-scan-images-extreme-gradient-boosting-madhu-govardhan-lakshman-srikanth-nagachandrika,,,eBook ISBN9781 003241409,,,NA,,,
Dr D Kalyani,"A Revathi, D Kalyani, Somula Ramasubbareddy, K Govinda",,Critical Review on Course Recommendation System with Various Similarities,Book Chapter,Embedded Systems and Artificial Intelligence,Yes,Yes,"Pages 843-852 Publisher Springer, Singapore",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_80,DOI: https://doi.org/10.1007/978-981-15-0947-6_80,ISBN: 978-981-15-0946-9,,2,,"Recommendation systems,GQL,Cosine similarity,DBMS",,,
Dr D Kalyani,"D. Kalyani, Somula Ramasubbareddy, K. Govinda, V. Kumar",,Location-Based Proactive Handoff Mechanism in Mobile Ad Hoc Network,Book Chapter,International Conference on Intelligent Computing and Smart Communication 2019,Yes,Yes,"Algorithms for Intelligent Systems. Springer, Singapore.",2019,December,2018-19,https://link.springer.com/chapter/10.1007/978-981-15-0633-8_9,DOI https://doi.org/10.1007/978-981-15-0633-8_9,ISBN 978-981-15-0632-1,,3,,"Location,Mobile,RFID,WiMAX,Access point",,,
Dr D Kalyani,"D. Kalyani,Dr R sridevi",,Private Communication Based on Hierarchical Identity-Based Cryptography,Book Chapter,Emerging Technologies in Data Mining and Information Security,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 755. Springer, Singapore.Pages 749-756",2018,December,2018-19,https://link.springer.com/chapter/10.1007/978-981-13-1951-8_67,DOI: https://doi.org/10.1007/978-981-13-1951-8_67,ISBN: 978-981-13-1950-1,,1,,"Cryptography,IBE,HIBE,Pairings,Key issuing protocol,PKI",,,
Dr D Kalyani,Vijay Kumar,,Particle Swarm Based Optimal Key Generation: Block Chain Assisted Secure Information Sharing in Supply Chain Management,Book Chapter,International Conference on Advanced Informatics for Computing Research,Yes,Yes,Volume1,2021,January,2020-21,https://link.springer.com/chapter/10.1007/978-981-16-3660-8_41,https://doi.org/10.1007/978-981-16-3660-8_41,ISBN : 978-981-16-3659-2,,,,"PSCM,Block chain technology,Optimal key generation,PSO",,,
Dr D Kalyani,Dr R sridevi,,Robust Distributed key Issuing protocol for Identity based cryptography,Book Chapter,Robust Distributed key Issuing protocol for Identity based cryptography,Yes,Yes,Volume2,2016,September,2016-17,https://ieeexplore.ieee.org/document/7732147,https://doi.org/10.1109/ICACCI.2016.7732147,ISBN:978-1-5090-2030-0,,7,,"ID-Based cryptography,Threshold Cryptography,Key Escrow,Bilinear Pairings,Key Issuing Protocol",,,
V Lavanya,"V. Lavanya, Somula Ramasubbareddy, Govinda. K",,Fuzzy keyword matching using N-Gram and Cryptographic approach over encrypted data in cloud,Book Chapter,Embedded Systems and Artificial Intelligence,Yes,Yes,"Advances in Intelligent Systems and Computing, vol 1076. Springer, Singapore. pp 551-558",2020,April,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-0947-6_52,DOI https://doi.org/10.1007/978-981-15-0947-6_52,ISBN 978-981-15-0946-9,,,,"Fuzzy,Encryption,Cloud,N-gram,Security",,,
Swathi Sambangi,"Illa Pavan Kumar, Swathi Sambangi, Ramasubbareddy Somukoa, Sravani Nalluri, K Govinda",No,Server security in cloud computing using block-chaining technique,Book Chapter,Data Engineering and Communication Technology,yes,,"Vol. 8, Special Issue 2, Nov 2018",2018,November,2018-19,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_77,DOI: https://doi.org/10.1007/978-981-15-1097-7_77,ISSN: 2073-607X,,4,,"Cloud computing,Security,Block-chain,Encryption",,,
Swathi Sambangi,"K Govinda Illa Pavan Kumar, Swathi Sambangi, Ramasubbareddy Somukoa, Sravani Nalluri",No,Server Security in Cloud Computing Using Block-Chaining Technique,Book Chapter,"Advances in Intelligent Systems and Computing book series (AISC,volume 1079)",,,Pages 913-920,2020,January,2019-20,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_777,https://doi.org/10.1007/978-981-15-1097-7_77,Print ISBN 978-981-15-1096-0,,,,NA,,,
Swathi Sambangi,"Swathi Sambangi, Lakshmeeswari Gondi",No,Multi Linear Regression Model to Detect Distributed Denial of Service Attacks in Cloud Environments,Book Chapter,"Lecture Notes in Electrical Engineering book series (LNEE,volume 788)",,,Innovations in Cyber Physical Systems pp 535–545,2021,September,2021-22,https://link.springer.com/chapter/10.1007/978-981-16-4149-7_48,https://doi.org/10.1007/978-981-16-4149-7_48,Print ISBN 978-981-16-4148-0,,,,"DDoS attack,Fit chart,Traffic packet,Classification,Prediction",,,
B Srivani,"S Renu Deepti B Srivani, N Sandhya",No,Implementation of Power Law Model for Assessing Software Reliability,Book Chapter,Proceedings of the Second International Conference on Computational Intelligence and Informatics,,,"Advances in Intelligent Systems and Computing, vol 712. Springer, Singapore.",2018,July,2017-18,https://link.springer.com/chapter/10.1007/978-981-10-8228-3_55,https://doi.org/10.1007/978-981-10-8228-3_55,ISBN978-981-10-8227-6,,,,"The power law process model,Regression estimation approach,Maximum likelihood estimation,Time interval between failures,Mean time between failures",,,
B Srivani,"Chalumuru Suresh, M Ravikanth, B Srivani, Thatavarti Satish",No,Cognitive IoT-based smart fitness diagnosis and recommendation system using a three-dimensional CNN with hierarchical particle swarm optimization,Book Chapter,Smart Sensors for Industrial Internet of Things,-,-,Pages 147-160 Publisher Springer Cham,,,2020-21,https://link.springer.com/chapter/10.1007/978-3-030-52624-5_10,https://doi.org/10.1007/978-3-030-52624-5_10,Print ISBN 978-3-030-52623-8,,,,"Cognitive IoT,CNN,Recommendation system,Hierarchical PSO",,,
B Srivani,"S Renu Deepti B Srivani, Qualid Unnisa",Yes,Shielding Software Defined Network Using Hidden Authentication Technique,Book Chapter,Recent Trends in Intensive Computing,-,-,Volume 39 Pages 425 Publisher IOS Press,2021,December,2021-22,https://www.iospress.com/catalog/books/recent-trends-in-intensive-computing,10.3233/APC210224,ISBN print. 978-1-64368-216-7.,,,,NA,,,
B Srivani,"B Srivani, N Sandhya, B Padmaja Rani",no,An Effective Model for Handling the Big Data Streams Based on the Optimization-Enabled Spark Framework,Book Chapter,"Book Intelligent System Design Pages 673-696 Publisher Springer, Singapore",-,-,"Advances in Intelligent Systems and Computing book series (AISC,volume 1171), pp 673–696",2020,August,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_65,https://doi.org/10.1007/978-981-15-5400-1_65,Print ISBN 978-981-15-5399-8,,,,"Big data streaming,Spark architecture,Incremental data,Entropy,Rough set theory",,,
B Srivani,"B Srivani, N Sandhya, B Padmaja Rani",No,An Effective Model for Handling the Big Data Streams Based on the Optimization-Enabled Spark Framework,Book Chapter,"Advances in Intelligent Systems and Computing book series (AISC,volume 1171)",Yes,,"Advances in Intelligent Systems and Computing book series (AISC,volume 1171)",2020,August,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-5400-1_655,https://doi.org/10.1007/978-981-15-5400-1_655,Print ISBN 978-981-15-5399-8,Scopus Google Scholar,,,NA,,,
B Srivani,"Chalumuru Suresh, M Ravikanth, B Srivani, Thatavarti Satish",No,Cognitive IoT-based smart fitness diagnosis and recommendation system using a three-dimensional CNN with hierarchical particle swarm optimization,Book Chapter,Smart Sensors for Industrial Internet of Things pp 147–160,Yes,,"Book Smart Sensors for Industrial Internet of Things Pages 147-160 Publisher Springer, Cham",2021,February,2020-21,https://link.springer.com/chapter/10.1007/978-3-030-52624-5_100,,Print ISBN 978-3-030-52623-8,Google Scholar Scopus,,,NA,,,
Illa Pavan Kumar,Pavan Kumar Illa,No,Building Scalable Architectures For Web Applications in Cloud,Book,LAP LAMBERT Academic Publishing,no,,Volume 1,2016,December,2016-17,https://www.worldcat.org/title/building-scalable-architectures-for-web-applications-in-cloud/oclc/971212747,,"ISBN:9783659877773,",,0,,NA,,,
Illa Pavan Kumar,"Illa Pavan Kumar,V. P. Hara Gopal",No,Dominant Color Palette Extraction by K-Means Clustering Algorithm and Reconstruction of Image,Book Chapter,Data Engineering and Communication Technology,yes,,"Advances in Intelligent Systems and Computing, vol 1079. Springer, Singapore pp 921-929",2020,January,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_78,DOI: https://doi.org/10.1007/978-981-15-1097-7_78,ISBN: 978-3-659-87777-3,scopus,8,,"RGB space,HSV space,Clustering,Clusters,Centroids,K-implies,Kaufman introduction,Shading containers",,,
Illa Pavan Kumar,"Illa Pavan Kumar, Swathi Sambangi, Ramasubbareddy Somukoa, Sravani Nalluri, K Govinda",No,Server security in cloud computing using block-chaining technique,Book Chapter,Data Engineering and Communication Technology,yes,,"dvances in Intelligent Systems and Computing, vol 1079. Springer, Singapore, Pages 913-920 Publisher Springer, Singapore",2020,January,2020-21,https://link.springer.com/chapter/10.1007/978-981-15-1097-7_77,DOI: https://doi.org/10.1007/978-981-15-1097-7_77,ISSN: 2073-607X,scopus,6,,"Cloud computing,Security,Block-chain,Encryption",,,
Dr A Sreenivasa Rao,KSN Prasad Annaluri Sreenivasa Rao Rudra Kumar,No,Defect Prediction in Software development & Maintenance,Book,Patrirdge india pvt ltd,,,,2018,April,2017-18,https://www.amazon.in/Defect-Prediction-Software-Development-Maintainence/dp/1543702422,https://www.amazon.in/Defect-Prediction-Software-Development-Maintainence/dp/1543702422,ISBN-10 ? : ? 1543702422,,1,,NA,,,
Dr A Sreenivasa Rao,"Madapuri Rudra Kumar, Kalli Srinivasa Nageswara Prasad, Annaluri Sreenivasa Rao, Vinit Kumar Gunjan",No,Change Request Impacts in Software Maintenance,BooK,Taylor&Fransis,,"Vol1,CRC Press",Book,2020,August,2020-21,,,ISSN (online) 2347-4718,,,,NA,,,
Dr A Sreenivasa Rao,"Dr M Shanmukhi,Nazia Tabassum,Meenakshi Bhrugubanda,Dr A Sreenivasa Rao",No,"Authentication and data security in mobile cloud environment: approaches,models and issues",Book Chapter,Book Chapter in the Book Authentication and access control for in secure communication in Mobile Cloud Computing,,"Vol 1,Pages 8",Immortal Publications,2020,September,2020-21,,,,,,,NA,,,
Dr A Sreenivasa Rao,"Sreenivasa Rao Annaluri, Venkata Ramana Attili, D Mohan",,SDN-Based IoT with Edge Computing,Book Chapter,SDN-Supported Edge-Cloud Interplay for Next Generation Internet of Things,,,Pages 1-24 Publisher Chapman and Hall/CRC,2022,December,2022-23,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003213871-1/sdn-based-iot-edge-computing-sreenivasa-rao-annaluri-venkata-ramana-attili-mohan,,ISBN: 9781003213871,,,,NA,,,
S. Renu Deepti,"S Renu Deepti B Srivani, N Sandhya",No,Implementation of Power Law Model for Assessing Software Reliability,Book Chapter,Proceedings of the Second International Conference on Computational Intelligence and Informatics,,,"Advances in Intelligent Systems and Computing, vol 712. Springer, Singapore.",2018,July,2017-18,https://link.springer.com/chapter/10.1007/978-981-10-8228-3_55,https://doi.org/10.1007/978-981-10-8228-3_55,ISBN978-981-10-8227-6,,1,,"The power law process model,Regression estimation approach,Maximum likelihood estimation,Time interval between failures,Mean time between failures",,,
